,color-ID,TopColor,color-Description,color-Label,color-Image-url,color-FullPrice,color-CurrentPrice,color-Discount,color-BestSeller,color-InStock,color-MemberExclusive,color-New
1221,39ec31c5-4b6f-51b8-aa96-2e263e59dc14,Barely Rose/Pink Rise/Canyon Rust/Cave Purple,Deep Purple/Barely Volt/Blackened Blue/Baltic Blue,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/62aee4e7-38db-457d-afd6-9ea820a53a14/image.jpg",140.0,105.97,False,False,False,False,False
1222,5574b054-16f3-5a55-8562-caa977e50ffc,Barely Rose/Pink Rise/Canyon Rust/Cave Purple,White/Sail/Summit White/Light Smoke Grey,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/c42ec98f-d993-4b3b-a045-6dbc885ee722/image.jpg",130.0,110.97,False,False,False,False,False
1223,8d8c78d4-bd61-548f-b6f5-aef6f159c0b2,Barely Rose/Pink Rise/Canyon Rust/Cave Purple,Black/Dark Smoke Grey/Smoke Grey/White,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/206d9d76-99ae-4d23-b494-51d1c67cb4ef/image.jpg",130.0,91.97,False,False,False,False,False
1224,0e9ecac2-281b-510c-b098-dc5cf5ba997b,Rush Fuchsia/Pearl Pink/Volt/Black,Rush Fuchsia/Pearl Pink/Volt/Black,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/75307114-3936-44e3-8fbe-784ce3e9284d/image.jpg",120.0,84.97,False,False,False,False,False
1225,8df0d5f9-bb2d-5dda-bf4e-c006e48e6a26,Rush Fuchsia/Pearl Pink/Volt/Black,Arctic Orange/Football Grey/Cave Purple/Ghost Green,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/b6854fe1-84ff-4fc0-a229-c02c66facb3c/image.jpg",120.0,84.97,False,False,False,False,False
1226,eec64cd2-2dd1-5882-9608-4654c4721931,Rush Fuchsia/Pearl Pink/Volt/Black,Sweet Beet/Pink Rise/White/Cave Purple,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/c412e027-e917-4e23-9159-b87d9f794974/image.jpg",120.0,84.97,False,False,False,False,False
1227,462f69cb-66c4-5ef8-b50c-3d4724d087ca,Rush Fuchsia/Pearl Pink/Volt/Black,Black/Mica Green/Cosmic Fuchsia/Noise Aqua,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/00f79d75-1056-477a-845a-7017fca55d8a/image.jpg",120.0,102.97,False,False,False,False,False
1228,d1020795-95a8-5f73-9ec4-f632ca84e55c,Rush Fuchsia/Pearl Pink/Volt/Black,Black/Black/Volt/White,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/e9f15565-65a7-41d4-af6d-fbb18086a6f0/image.jpg",120.0,120.0,False,False,False,False,False
1229,35c82d0a-aae9-5bd3-9f92-811fc9f18227,Black/Dark Smoke Grey/Smoke Grey/White,Black/Dark Smoke Grey/Smoke Grey/White,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/b032abc3-ec58-4857-a216-81b36a9f8fdd/image.jpg",70.0,56.97,False,False,False,False,False
1230,ec3c39df-06ea-5cf0-aa45-f776888ab794,Black/Dark Smoke Grey/Smoke Grey/White,White/Smoke Grey/Black,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/1d55c75b-d673-4fe5-bd3d-c6e7f8507808/image.jpg",70.0,56.97,False,False,False,False,False
1231,7e4c1be0-88ec-5bd2-9f59-cff6cb62b6ea,Black/Dark Smoke Grey/Smoke Grey/White,Midnight Navy/Black/White/Metallic Silver,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/299066a9-d8b1-4ade-8da9-d7bd750e44fc/image.jpg",70.0,70.0,False,False,False,False,False
1232,fe960071-9331-5d6c-93ab-e4feab719dff,Black/Dark Smoke Grey/Smoke Grey/White,Black/Dark Smoke Grey/Smoke Grey/White,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/9068d797-09aa-4a63-8588-8a1e6658c5da/image.jpg",130.0,110.97,False,False,False,False,False
1233,51b63aad-77e8-57a0-ab20-932d645dae42,Black/Dark Smoke Grey/Smoke Grey/White,Court Purple/Barely Volt/Blackened Blue/Baltic Blue,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/a7f8a07d-f910-43f3-92ca-714d9b82709d/image.jpg",140.0,88.97,False,False,False,False,False
1234,997b0dbf-ac2f-57d6-a130-534afabe3458,Black/Dark Smoke Grey/White,Black/Dark Smoke Grey/White,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/8b58b807-de6c-4fc1-b51e-04b40428ae2f/image.jpg",80.0,56.97,False,False,False,False,False
1235,a3e6363b-2d1b-5c13-b18d-4c428fbf6aac,Black/Dark Smoke Grey/White,Football Grey/Medium Soft Pink/Blue Whisper/Light Crimson,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/69c8c4e4-7895-4c6b-a2b6-bdb9f6828f86/image.jpg",80.0,54.97,False,False,False,False,False
1236,8c1d3b0b-de36-524c-bce6-8773b164dea0,Black/Dark Smoke Grey/White,Black/Dark Smoke Grey/White,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/754ff2f5-942f-4e4e-80b2-870e31555171/image.jpg",90.0,81.97,False,False,False,False,False
1237,26f955b5-1186-5cfa-b021-8ac086dff361,Black/Dark Smoke Grey/White,Rush Pink/Mystic Hibiscus/White/Light Curry,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/e91c594c-8e6e-4ff4-948f-70e01c817755/image.jpg",90.0,72.97,False,False,False,False,False
1238,77d2b27a-6f4e-538f-bb45-08a7289f123a,Black/Dark Smoke Grey/White,Aura/Worn Blue/White/Armory Navy,IN_STOCK,"https://static.nike.com/a/images/c_limit,w_400,f_auto/t_product_v1/90cfd816-0084-440b-a16e-1fe1b053169e/image.jpg",90.0,90.0,False,False,False,False,False
